id,category,name,price,emotion,weather,image,restaurant_id
75,햄버거,딥치즈버거,4800,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
76,햄버거,할라피뇨통살버거,4800,"배고픔,기쁨,피곤,스트레스","맑음,구름,황사",NULL,4
77,햄버거,텍사스바베큐치킨버거,6100,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
79,햄버거,야채통통치킨버거,6200,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
80,햄버거,오리지널미트볼버거,6200,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
81,햄버거,청양마요미트볼버거,6200,"배고픔,기쁨,피곤,스트레스","맑음,구름,황사",NULL,4
82,치킨,꿀간장누룽지싸이순살,14500,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
83,치킨,마늘톡겨자싸이순살,14500,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
84,치킨,치즈뿌치싸이순살,13900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
85,치킨,군옥수수뿌치싸이순살,13900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
86,치킨,핫치즈싸이순살,14500,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
87,치킨,후라이드싸이순살,11900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
88,치킨,맘스양념싸이순살,13900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
89,치킨,간장마늘싸이순살,13900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
90,치킨,치파오싸이순살,13900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
91,치킨,꿀간장누룽치치킨(반마리),10900,"적당,기쁨,스트레스","맑음,구름,황사",NULL,4
92,치킨,꿀간장누룽지치킨(한마리),19500,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
93,치킨,마늘톡겨자치킨(반마리),10900,"적당,기쁨,스트레스","맑음,구름,황사",NULL,4
94,치킨,마늘톡겨자치킨(한마리),19500,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
95,치킨,치즈뿌치(반마리),10400,"적당,기쁨,스트레스","맑음,구름,황사",NULL,4
96,치킨,치즈뿌치(한마리),18900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
97,치킨,후라이드치킨(반마리),9400,"적당,기쁨,스트레스","맑음,구름,황사",NULL,4
98,치킨,후라이드치킨(한마리),16900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
99,치킨,간장마늘치킨(반마리),10400,"적당,기쁨,스트레스","맑음,구름,황사",NULL,4
100,치킨,간장마늘치킨(한마리),18900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
101,치킨,맘스양념치킨(반마리),10400,"적당,기쁨,스트레스","맑음,구름,황사",NULL,4
102,치킨,맘스양념치킨(한마리),18900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
103,치킨,반반치킨(후라이드+양념1종),17900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
104,치킨,닭강정트리오,12000,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
105,치킨,케이준떡강정(S),4200,"적당,기쁨,스트레스","맑음,구름,황사",NULL,4
