id,category,name,price,emotion,weather,image,restaurant_id
53,한식,콩국수(여름메뉴),8000,"배고픔,피곤,스트레스","맑음,구름,비","menu/Restaurant object (3)/콩국수여름메뉴.jpg",3
54,한식,열무국수(여름메뉴),7000,"배고픔,피곤,스트레스","맑음,구름,비","menu/Restaurant object (3)/열무국수여름메뉴.jpg",3
55,죽,호박죽,6900,"적당,피곤","구름,비,눈","menu/Restaurant object (3)/호박죽.jpg",3
56,죽,팥죽,6900,"적당,피곤","구름,비,눈","menu/Restaurant object (3)/팥죽.jpg",3
57,죽,소고기야채죽,6900,"적당,피곤","구름,비,눈","menu/Restaurant object (3)/소고기야채죽.jpg",3
58,죽,영양닭죽,6900,"적당,피곤","구름,비,눈","menu/Restaurant object (3)/영양닭죽.jpg",3
59,햄버거,싸이버거,4600,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/싸이버거.jpg",4
60,햄버거,불싸이버거,4800,"배고픔,기쁨,피곤,스트레스","맑음,구름,황사","menu/Restaurant object (4)/불싸이버거.jpg",4
61,햄버거,양념치킨싸이버거,4800,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/양념치킨싸이버거.jpg",4
62,햄버거,간장마늘싸이버거,4800,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/간장마늘싸이버거.jpg",4
63,햄버거,싸이플렉스버거,7700,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/싸이플렉스버거.jpg",4
64,햄버거,쉬림프싸이플렉스버거,7000,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/쉬림프싸이플렉스버거.jpg",4
65,햄버거,트리플딥치즈싸이버거,5400,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/트리플딥치즈싸이버거.jpg",4
66,햄버거,화이트갈릭싸이버거,5200,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/화이트갈릭싸이버거.jpg",4
67,햄버거,휠렛버거,4400,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/휠렛버거.jpg",4
68,햄버거,인크레더블버거,5700,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/인크레더블버거.jpg",4
69,햄버거,언빌리버블버거,5900,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/언빌리버블버거.jpg",4
70,햄버거,불고기버거,3900,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/불고기버거.jpg",4
71,햄버거,디럭스불고기버거,5200,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/디럭스불고기버거.jpg",4
72,햄버거,새우불고기버거,5700,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/새우불고기버거.jpg",4
73,햄버거,통새우버거,3500,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/통새우버거.jpg",4
74,햄버거,화이트갈릭버거,4900,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/화이트갈릭버거.jpg",4
75,햄버거,딥치즈버거,4800,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/딥치즈버거.jpg",4
76,햄버거,할라피뇨통살버거,4800,"배고픔,기쁨,피곤,스트레스","맑음,구름,황사","menu/Restaurant object (4)/할라피뇨통살버거.jpg",4
77,햄버거,텍사스바베큐치킨버거,6100,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/텍사스바베큐치킨버거.jpg",4
79,햄버거,야채통통치킨버거,6200,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/야채통통치킨버거.jpg",4
