id,name,menu,gram,calorie,carbohydrate,protein,fat,saturatedfat,unsaturatedfat,cholesterol,sodium,potash,ingredient,allergy
62,간장마늘싸이버거,62.0,238.0,591.0,,27.0,,7.7,,,1335.0,,"밀가루, 닭고기, 양상추","밀,고기"
63,싸이버거,59.0,230.0,594.0,,28.0,,8.6,,,1009.0,,"밀가루, 닭고기, 양상추","밀,고기"
64,불싸이버거,60.0,230.0,543.0,,28.0,,6.9,,,1152.0,,"밀가루, 닭고기, 양상추, 오징어, 조개","밀,고기,조개"
65,인크레더블버거,68.0,312.0,749.0,,38.0,,8.6,,,1455.0,,"밀가루, 닭고기, 양상추, 토마토, 조개","밀,고기,조개"
66,할라피뇨통살버거,76.0,267.0,631.0,,27.0,,8.1,,,1103.0,,"밀가루, 닭고기, 양상추, 토마토","밀,고기"
67,휠렛버거,67.0,288.0,586.0,,39.0,,6.4,,,982.0,,"밀가루, 닭고기, 양상추, 토마토","밀,고기"
68,딥치즈버거,75.0,281.0,605.0,,42.0,,10.0,,,1195.0,,"밀가루, 닭고기, 양상추","밀,고기"
69,언빌리버블버거,69.0,338.0,772.0,,45.0,,7.9,,,1514.0,,"밀가루, 닭고기, 양상추, 새우, 조개","밀,고기,조개"
70,화이트갈릭버거,74.0,298.0,699.0,,45.0,,11.1,,,1580.0,,"밀가루, 닭고기, 양상추, 돼지고기","밀,고기,고기"
71,불고기버거,70.0,159.0,383.0,,15.0,,5.5,,,739.0,,"밀가루, 돼지고기, 토마토, 양상추","밀,고기"
72,새우불고기버거,72.0,247.0,635.0,,18.0,,7.6,,,1242.0,,"밀가루, 새우, 돼지고기, 토마토, 양상추","밀,고기"
73,에그불고기버거,,211.0,497.0,,20.0,,6.4,,,951.0,,"밀가루, 돼지고기, 토마토, 달걀, 양상추","밀,고기,달걀"
74,디럭스불고기버거,71.0,226.0,553.0,,26.0,,10.6,,,1111.0,,"밀가루, 돼지고기, 토마토, 양상추","밀,고기"
75,통새우버거,73.0,178.0,449.0,,12.0,,12.4,,,707.0,,"밀가루, 새우, 양상추",밀
76,야채통통치킨버거,79.0,316.0,766.0,,28.0,,9.3,,,1280.0,,"밀가루, 고등어, 토마토, 닭고기, 양상추","밀,고기"
77,오리지널미트볼버거,80.0,303.0,814.0,,34.0,,18.3,,,1417.0,,"밀가루, 돼지고기, 토마토, 아황산, 닭고기, 양상추","밀,고기,고기"
78,청양마요미트볼버거,81.0,301.0,799.0,,36.0,,15.7,,,1434.0,,"밀가루, 돼지고기, 토마토, 닭고기, 양상추","밀,고기,고기"
79,꿀간장누룽지싸이순살,82.0,100.0,300.0,,20.0,,5.2,,,467.0,,"밀가루, 닭고기, 간장, 꿀, 쌀","밀,고기,콩"
80,마늘톡겨자싸이순살,83.0,100.0,324.0,,21.0,,4.8,,,546.0,,"밀가루, 닭고기, 마늘, 겨자","밀,고기"
81,치즈뿌치싸이순살,84.0,100.0,418.0,,22.0,,5.8,,,614.0,,"우유, 밀가루, 닭고기, 치즈","우유,밀,고기,우유"
82,군옥수수뿌치싸이순살,85.0,100.0,382.0,,20.0,,5.4,,,532.0,,"우유, 밀가루, 닭고기, 옥수수, 치즈","우유,밀,고기,우유"
83,핫치즈싸이순살,86.0,100.0,331.0,,18.0,,4.9,,,536.0,,"우유, 밀가루, 토마토, 닭고기, 쇠고기, 오징어, 조개","우유,밀,고기,조개"
84,후라이드싸이순살,87.0,100.0,349.0,,22.0,,3.9,,,389.0,,"밀가루, 닭고기","밀,고기"
85,맘스양념싸이순살,88.0,100.0,290.0,,15.0,,2.9,,,475.0,,"우유, 밀가루, 닭고기, 토마토","우유,밀,고기"
86,간장마늘싸이순살,89.0,100.0,283.0,,15.0,,2.4,,,488.0,,"밀가루, 닭고기, 조개, 간장, 마늘","밀,고기,조개,콩"
87,치파오싸이순살,90.0,100.0,290.0,,16.0,,2.7,,,477.0,,"밀가루, 닭고기, 조개","밀,고기,조개"
88,꿀간장누룽치치킨(반마리),91.0,100.0,305.0,,16.0,,4.6,,,573.0,,"밀가루, 닭고기, 간장, 꿀, 쌀","밀,고기,콩"
89,꿀간장누룽지치킨(한마리),92.0,100.0,305.0,,16.0,,4.6,,,573.0,,"밀가루, 닭고기, 간장, 꿀, 쌀","밀,고기,콩"
90,마늘톡겨자치킨(반마리),93.0,100.0,326.0,,18.0,,4.2,,,569.0,,"밀가루, 닭고기, 마늘, 겨자","밀,고기"
91,마늘톡겨자치킨(한마리),94.0,100.0,326.0,,18.0,,4.2,,,569.0,,"밀가루, 닭고기, 마늘, 겨자","밀,고기"
92,치즈뿌치(반마리),95.0,100.0,304.0,,24.0,,4.2,,,458.0,,"우유, 밀가루, 닭고기, 치즈","우유,밀,고기,우유"
93,치즈뿌치(한마리),96.0,100.0,304.0,,24.0,,4.2,,,458.0,,"우유, 밀가루, 닭고기, 치즈","우유,밀,고기,우유"
94,후라이드치킨(반마리),97.0,100.0,319.0,,23.0,,3.9,,,507.0,,"밀가루, 닭고기","밀,고기"
95,후라이드치킨(한마리),98.0,100.0,319.0,,23.0,,3.9,,,507.0,,"밀가루, 닭고기","밀,고기"
96,간장마늘치킨(반마리),99.0,100.0,304.0,,23.0,,3.1,,,521.0,,"밀가루, 닭고기, 조개, 간장, 마늘","밀,고기,조개,콩"
97,간장마늘치킨(한마리),100.0,100.0,304.0,,23.0,,3.1,,,521.0,,"밀가루, 닭고기, 조개, 간장, 마늘","밀,고기,조개,콩"
98,맘스양념치킨(반마리),101.0,100.0,269.0,,16.0,,2.2,,,569.0,,"우유, 밀가루, 닭고기, 토마토","우유,밀,고기"
99,맘스양념치킨(한마리),102.0,100.0,269.0,,16.0,,2.2,,,569.0,,"우유, 밀가루, 닭고기, 토마토","우유,밀,고기"
100,반반치킨(후라이드+양념1종),103.0,100.0,310.0,,22.0,,4.0,,,500.0,,"우유, 밀가루, 닭고기","우유,밀,고기"
101,닭강정트리오,104.0,100.0,304.0,,10.0,,2.5,,,438.0,,"우유, 땅콩, 밀가루, 아황산, 닭고기, 조개","우유,콩,땅콩,밀,고기,조개"
102,케이준떡강정(S),105.0,100.0,321.0,,10.0,,2.8,,,433.0,,"우유, 땅콩, 밀가루, 아황산, 닭고기","우유,콩,땅콩,밀,고기"
103,간장마늘떡강정(S),106.0,100.0,301.0,,9.0,,2.4,,,420.0,,"우유, 밀가루, 닭고기, 조개","우유,밀,고기,조개"
104,치파오떡강정(S),107.0,100.0,290.0,,11.0,,2.5,,,460.0,,"우유, 밀가루, 닭고기","우유,밀,고기"
105,후라이드텐더(4조각),108.0,100.0,308.0,,23.0,,3.1,,,394.0,,"밀가루, 닭고기","밀,고기"
106,후라이드텐더(8조각),109.0,100.0,308.0,,23.0,,3.1,,,394.0,,"밀가루, 닭고기","밀,고기"
107,찐감자찰빵2조각,110.0,100.0,277.0,,3.0,,4.8,,,271.0,,"우유, 밀가루, 아황산, 감자","우유,밀"
108,코울슬로,111.0,120.0,160.0,,1.0,,1.1,,,440.0,,"양배추, 양파, 마요네즈",
109,콘샐러드,112.0,100.0,140.0,,1.0,,1.2,,,370.0,,"옥수수, 마요네즈",
110,바삭크림치즈볼(2조각),113.0,60.0,209.0,,3.0,,4.1,,,238.0,,"우유, 밀가루, 치즈","우유,밀,우유"
111,달콤카라멜볼,114.0,62.0,277.0,,4.0,,7.1,,,225.0,,"우유, 밀가루, 카라멜","우유,밀"
112,케이준양념감자,115.0,100.0,313.0,,5.0,,3.2,,,750.0,,"밀가루, 감자",밀
113,케이준양념감자(대),116.0,180.0,564.0,,8.0,,5.7,,,1351.0,,"밀가루, 감자",밀
114,치즈감자,117.0,155.0,439.0,,8.0,,6.5,,,1007.0,,"밀가루, 감자, 치즈","밀,우유"
115,치즈스틱,118.0,40.0,129.0,,6.0,,2.7,,,217.0,,"밀가루, 치즈, 우유","밀,우유,우유"
116,매콤김떡만,119.0,190.0,269.0,,10.0,,3.2,,,848.0,,"밀가루, 우유, 돼지고기, 아황산, 닭고기, 조개","밀,우유,고기,고기,조개"
117,할라피뇨너겟(4조각),120.0,65.0,153.0,,11.0,,1.8,,,313.0,,"밀가루, 닭고기, 조개","밀,고기,조개"
118,탄단지샐러디,121.0,245.0,371.1,34.7,17.8,19.6,2.8,,,365.6,,"치킨, 크랜베리, 감자, 견과류, 오리엔탈소스, 채소",땅콩
119,로스트닭다리살샐러디,122.0,320.0,338.1,51.3,10.9,11.3,2.8,,,880.4,,"닭고기, 단호박, 토마토, 양파, 옥수수, 크리미할라피뇨소스, 채소",고기
120,콥샐러디,132.0,215.0,219.1,14.1,12.3,15.2,4.5,,,486.2,,"채소, 달걀, 옥수수, 올리브, 양파, 베이컨",달걀
121,우삼겹메밀면샐러디,134.0,305.0,307.0,39.2,18.9,14.7,0.9,,,427.2,,"채소, 돼지고기, 메밀, 오이, 양파, 견과류","고기,땅콩"
122,연어샐러디,133.0,260.0,297.4,24.2,15.4,15.2,1.6,,,304.2,,"채소, 연어, 감자, 양파, 레몬",생선
123,시저치킨샐러디,131.0,160.0,116.4,15.1,14.0,0.9,0.3,,,210.9,,"채소, 닭고기, 크랜베리, 시저소스",고기
124,칠리베이컨웜볼,123.0,300.0,485.4,65.5,20.3,15.8,5.7,,,438.8,,"채소, 쌀, 베이컨, 달걀, 옥수수",달걀
125,우삼겹웜볼,136.0,285.0,409.9,59.9,21.3,10.8,1.1,,,242.9,,"채소, 쌀, 돼지고기, 양파, 견과류, 오리엔탈소스","고기,땅콩"
126,에그베이컨 샌드,124.0,195.0,442.5,45.7,14.5,22.1,7.4,,,576.1,,"채소, 달걀, 베이컨, 토마토, 치즈, 허니머스타드소스","달걀,우유"
127,치킨토마토샌드,140.0,194.0,421.5,39.4,16.1,22.4,6.0,,,548.3,,"채소, 닭고기, 토마토, 크랜베리, 치즈, 시저소스","고기,우유"
128,맥시칸랩,126.0,219.0,565.6,53.9,15.2,32.6,7.3,,,893.7,,"채소, 소고기, 나쵸, 샤워크림, 크리미칠리소스",
129,칠리베이컨웜랩,127.0,315.0,744.1,84.3,21.0,35.9,10.2,,,1153.0,,"채소, 쌀, 베이컨, 달걀, 옥수수, 크리미칠리소스",달걀
130,우삼겹웜랩,128.0,305.0,622.0,73.0,23.2,27.4,5.3,,,884.0,,"채소, 쌀, 돼지고기, 양파, 견과류, 오리엔탈소스","고기,땅콩"
131,스파이시비프 브레드,125.0,248.0,420.0,62.0,24.1,17.1,4.8,,,646.3,,"채소, 돼지고기, 양파, 치즈, 크리미칠리소스","고기,우유"
132,바질치킨 브레드,129.0,269.0,588.0,63.3,23.9,24.0,8.6,,,831.5,,"채소, 닭고기, 토마토, 양파, 할라피뇨, 치즈, 크리미할라피뇨소스","고기,우유"
133,바질치킨 랩,130.0,224.0,524.0,48.1,20.8,27.5,6.4,,,882.7,,"채소, 닭고기, 바질페스토, 크랜베리, 시저소스",고기
134,단호박두부 샐러디,135.0,295.0,264.4,36.4,7.3,11.8,1.6,,,368.7,,"채소, 단호박, 두부, 당근, 옥수수, 올리브, 타바스코오리엔탈소스",콩
135,머쉬룸두부 웜볼,137.0,360.0,431.5,76.3,15.6,10.4,1.1,,,182.6,,"채소, 쌀, 버섯, 두부, 양파, 옥수수, 타바스코오리엔탈소스",콩
136,바베큐치킨 웜볼,138.0,370.0,519.3,90.5,17.3,8.3,0.9,,,583.6,,"채소, 쌀, 닭고기, 달걀, 양파, 옥수수, 타바스코오리엔탈소스","고기,달걀"
137,할라피뇨치킨 웜볼,139.0,345.0,409.3,71.4,24.9,5.2,0.5,,,786.8,,"채소, 쌀, 닭고기, 할라피뇨, 옥수수, 샤워크림, 크리미칠리소스",고기
138,크리미연어 샌드,141.0,204.0,396.1,39.7,14.9,19.7,4.9,,,751.7,,"채소, 연어, 양파, 토마토, 치즈, 크리미할라피뇨소스","생선,우유"
139,바베큐치킨 샌드,142.0,234.0,415.6,46.5,14.6,16.7,7.5,,,835.5,,"채소, 닭고기, 토마토, 양파, 치즈, 허니머스타드소스","고기,우유"
140,시저치킨 랩,143.0,224.0,501.1,49.8,18.6,26.2,6.0,,,824.1,,"채소, 닭고기, 크랜베리, 시저소스",고기
141,크리미연어 랩,144.0,249.0,488.1,53.6,16.1,19.8,4.1,,,1027.1,,"채소, 연어, 양파, 토마토, 크리미할라피뇨소스",생선
142,로스트닭다리살 랩,145.0,289.0,564.0,60.0,16.2,25.5,7.7,,,1184.4,,"채소, 닭고기, 양파, 토마토, 할라피뇨, 샤워크림, 크리미할라피뇨소스",고기
143,크랜베리그릭 랩,146.0,222.0,538.2,56.4,11.2,31.3,9.0,,,760.9,,"채소, 치즈, 크랜베리, 올리브, 토마토, 견과류, 시저소스","우유,땅콩"
144,바베큐치킨 웜랩,147.0,350.0,629.9,95.5,17.3,17.8,4.0,,,1208.0,,"채소, 쌀, 닭고기, 양파, 옥수수, 할라피뇨, 허니머스타드소스",고기
145,할라피뇨치킨 웜랩,148.0,338.0,603.8,47.5,17.2,15.4,2.2,,,789.2,,"채소, 쌀, 닭고기, 할라피뇨, 샤워크림, 크리미칠리소스",고기
146,참치마요,160.0,217.0,425.0,55.0,11.0,18.0,3.2,,30.0,620.0,,"쌀, 참치, 양파, 김, 달걀, 마요네즈, 데리야끼소스","생선,달걀"
147,치킨마요,161.0,233.0,425.0,61.0,14.0,14.0,2.4,,65.0,810.0,,"쌀, 닭고기, 양파, 김, 달걀, 마요네즈, 데리야끼소스","고기,달걀"
148,큐브스테이크덮밥,149.0,300.0,445.0,54.33,25.29,13.29,5.265,5.6,47.0,685.0,565.0,"소고기, 쌀, 양파, 파, 겨자, 데리야끼소스",
149,쭈삼덮밥,150.0,100.0,276.0,32.0,14.0,12.0,561.0,4.2,5.31,230.0,123.21,"쭈꾸미, 돼지고기, 고추장, 양파, 겨자, 쌀",고기
150,닭갈비숙주덮밥,151.0,310.0,460.0,75.0,15.0,11.0,1.3,,30.0,920.0,,"닭고기, 숙주, 양파, 고추장, 겨자, 쌀",고기
151,제육숙주덮밥,152.0,500.0,779.0,115.13,29.85,21.41,6.397,8.788,71.0,544.0,725.0,"돼지고기, 숙주, 양파, 고추장, 겨자, 쌀",고기
152,소불숙주덮밥,153.0,300.0,440.0,48.77,28.64,12.74,3.244,5.098,54.0,304.0,486.0,"소고기, 숙주, 양파, 쌀, 겨자",
153,쭈불덮밥,154.0,100.0,298.0,54.1,28.12,15.41,3.41,7.12,,270.0,,"쭈꾸미, 소고기, 양파, 쌀, 겨자",
154,삼겹매콤와퍼,155.0,100.0,302.0,36.0,21.0,14.0,581.0,4.3,6.42,654.0,123.21,"돼지고기, 양파, 달걀, 간장, 쌀","고기,달걀,콩"
155,데리와퍼참치,156.0,282.1,552.5,71.5,14.3,23.4,4.16,0.0,39.0,806.0,0.0,"참치, 양파, 쌀, 김, 데리야끼소스, 달걀, 마요네즈","생선,달걀"
156,제육와퍼,157.0,250.0,389.5,57.565,14.925,10.705,3.1985,4.394,35.5,272.0,362.5,"돼지고기, 쌀, 김, 달걀, 데리야끼소스, 마요네즈, 고추장","고기,달걀"
157,김치제육와퍼,158.0,250.0,381.0,56.1,14.0,11.0,3.2,4.9,46.6,284.0,391.0,"돼지고기, 고추장, 김치, 달걀, 데리야끼소스, 쌀, 김","고기,달걀"
158,데리와퍼치킨,159.0,302.9,552.5,79.3,18.2,18.2,3.12,0.0,84.5,1053.0,0.0,"쌀, 닭고기, 양파, 김, 달걀, 마요네즈, 데리야끼소스","고기,달걀"
159,삼겹매콤마요,162.0,100.0,312.0,39.21,13.2,12.0,561.0,4.2,5.31,5.12,152.3,"돼지고기, 양파, 달걀, 간장, 쌀","고기,달걀,콩"
160,불고기비빔밥,163.0,205.0,345.0,54.0,8.0,11.0,2.2,,30.0,730.0,,"양파, 시금치, 버섯, 당근, 파프리카, 상추, 쌀, 소고기",
161,야채참치비빔밥,164.0,300.0,388.0,75.3,11.22,3.81,1.067,,113.0,279.0,364.0,"양파, 시금치, 버섯, 당근, 파프리카, 상추, 쌀, 참치",생선
162,강된장제육비빔밥,165.0,380.0,370.0,71.0,11.0,4.5,0.7,,,880.0,,"된장, 돼지고기, 양파, 시금치, 버섯, 당근, 파프리카, 상추, 쌀","콩,고기"
163,불맛땡초치킨도시락,166.0,345.0,585.0,92.0,29.0,11.0,1.9,,105.0,1290.0,,"닭고기, 쌀, 김치, 양배추, 밀가루","고기,밀"
164,마늘간장치킨도시락,167.0,400.0,754.0,97.0,24.0,30.0,6.0,,77.0,1063.0,,"마늘, 닭고기, 쌀, 김치, 양배추, 밀가루","고기,밀"
165,새우콤보도시락,168.0,400.0,712.0,81.0,36.32,30.0,,,,831.3,,"새우, 돼지고기, 밀가루, 쌀, 김치, 양배추","고기,밀"
166,칠리콤보도시락,169.0,400.0,741.0,104.3,27.32,19.3,6.4,9.12,249.0,782.0,720.0,"돼지고기, 닭고기, 밀가루, 쌀, 김치, 양배추, 칠리소스","고기,고기,밀"
167,콤보도시락,170.0,400.0,720.0,102.95,26.84,21.7,4.93,8.12,247.0,732.0,810.0,"돼지고기, 닭고기, 밀가루, 쌀, 김치, 양배추","고기,고기,밀"
168,소불고기도시락,171.0,400.0,792.0,118.0,39.0,17.0,,,,,,"소고기, 밀가루, 쌀, 김치, 양배추, 양파, 당근",밀
169,제육볶음도시락,172.0,415.0,771.0,93.0,35.0,29.0,8.0,,202.0,1616.0,,"양파, 당근, 마늘, 돼지고기, 고추장, 밀가루, 쌀, 김치, 양배추","고기,밀"
170,떡닭갈비도시락,173.0,418.0,675.0,96.0,30.0,19.0,4.7,,161.0,1905.0,,"떡, 돼지고기, 양파, 김치, 양배추, 밀가루, 쌀","고기,밀"
171,치킨커리,174.0,200.0,211.0,11.0,20.0,11.0,3.1,,110.0,640.0,,"닭고기, 감자, 양파, 우유, 카레","고기,우유"
172,돈까스커리,175.0,200.0,231.0,17.0,23.0,15.0,4.1,,149.0,730.0,,"돼지고기, 밀가루, 감자, 양파, 우유, 카레","고기,밀,우유"
173,짝3호(제육+간장치킨),176.0,415.0,791.0,98.0,39.0,41.0,8.0,,219.0,1502.0,,"돼지고기, 닭고기, 마늘, 고추장, 당근, 양파, 밀가루, 쌀, 양배추, 김치","고기,고기,밀"
