id,name,menu,gram,calorie,carbohydrate,protein,fat,saturatedfat,unsaturatedfat,cholesterol,sodium,potash,ingredient
49,소고기야채죽,57,200,170,26.04,9.74,3.18,1.187,1.223,10,245,286,"쌀, 소고기, 버섯, 양파, 당근"
50,콩국수(여름메뉴),53,200,513,81.4,25.01,10.41,2.059,2.652,85,526,795,"콩, 밀가루, 오이"
51,열무국수(여름메뉴),54,350,392,68.33,10.51,8.1,1.16,3.023,0,1468,322,"열무김치, 달걀, 오이, 당근, 밀가루, 깨"
52,호박죽,55,300,211,44.01,4.38,2.96,1.735,0.619,3,605,333,"호박, 쌀, 꿀"
53,팥죽,56,400,382,78.49,15.06,1.54,0.354,0.277,0,555,738,"팥, 쌀, 소금, 꿀"
54,영양닭죽,58,200,247,5.52,37.21,12.18,3.454,5.014,82,470,303,"쌀, 당근, 파, 깨, 닭고기"
55,딥치즈싸이버거,,246,655,NULL,31,NULL,14,NULL,NULL,1196,NULL,"밀가루, 닭고기, 양상추, 치즈"
56,화이트갈릭싸이버거,66,263,759,NULL,37,NULL,13,NULL,NULL,1345,NULL,"밀가루, 닭고기, 양상추"
57,쉬림프싸이플렉스버거,64,301,858,NULL,29,NULL,11.8,NULL,NULL,1392,NULL,"밀가루, 새우, 닭고기, 양상추"
58,트리플딥치즈싸이버거,65,272,659,NULL,30,NULL,12.1,NULL,NULL,1514,NULL,"밀가루, 닭고기, 아황산, 양상추, 치즈"
59,텍사스바베큐치킨버거,77,285,602,NULL,33,NULL,9.6,NULL,NULL,1419,NULL,"밀가루, 닭고기, 양상추, 토마토, 돼지고기"
60,싸이플렉스버거,63,406,991,NULL,44,NULL,15.2,NULL,NULL,2024,NULL,"밀가루, 닭고기, 양상추, 토마토"
61,양념치킨싸이버거,61,260,659,NULL,29,NULL,8.2,NULL,NULL,1277,NULL,"밀가루, 닭고기, 양상추, 토마토"
62,간장마늘싸이버거,62,238,591,NULL,27,NULL,7.7,NULL,NULL,1335,NULL,"밀가루, 닭고기, 양상추"
63,싸이버거,59,230,594,NULL,28,NULL,8.6,NULL,NULL,1009,NULL,"밀가루, 닭고기, 양상추"
64,불싸이버거,60,230,543,NULL,28,NULL,6.9,NULL,NULL,1152,NULL,"밀가루, 닭고기, 양상추, 오징어, 조개"
65,인크레더블버거,68,312,749,NULL,38,NULL,8.6,NULL,NULL,1455,NULL,"밀가루, 닭고기, 양상추, 토마토, 조개"
66,할라피뇨통살버거,76,267,631,NULL,27,NULL,8.1,NULL,NULL,1103,NULL,"밀가루, 닭고기, 양상추, 토마토"
67,휠렛버거,67,288,586,NULL,39,NULL,6.4,NULL,NULL,982,NULL,"밀가루, 닭고기, 양상추, 토마토"
68,딥치즈버거,75,281,605,NULL,42,NULL,10,NULL,NULL,1195,NULL,"밀가루, 닭고기, 양상추"
69,언빌리버블버거,69,338,772,NULL,45,NULL,7.9,NULL,NULL,1514,NULL,"밀가루, 닭고기, 양상추, 새우, 조개"
70,화이트갈릭버거,74,298,699,NULL,45,NULL,11.1,NULL,NULL,1580,NULL,"밀가루, 닭고기, 양상추, 돼지고기"
71,불고기버거,70,159,383,NULL,15,NULL,5.5,NULL,NULL,739,NULL,"밀가루, 돼지고기, 토마토, 양상추"
72,새우불고기버거,72,247,635,NULL,18,NULL,7.6,NULL,NULL,1242,NULL,"밀가루, 새우, 돼지고기, 토마토, 양상추"
73,에그불고기버거,,211,497,NULL,20,NULL,6.4,NULL,NULL,951,NULL,"밀가루, 돼지고기, 토마토, 달걀, 양상추"
74,디럭스불고기버거,71,226,553,NULL,26,NULL,10.6,NULL,NULL,1111,NULL,"밀가루, 돼지고기, 토마토, 양상추"
75,통새우버거,73,178,449,NULL,12,NULL,12.4,NULL,NULL,707,NULL,"밀가루, 새우, 양상추"
76,야채통통치킨버거,79,316,766,NULL,28,NULL,9.3,NULL,NULL,1280,NULL,"밀가루, 고등어, 토마토, 닭고기, 양상추"
77,오리지널미트볼버거,80,303,814,NULL,34,NULL,18.3,NULL,NULL,1417,NULL,"밀가루, 돼지고기, 토마토, 아황산, 닭고기, 양상추"
