﻿id,restaurant_id,category,menu,price,restaurant_name,emotion,weather
62,4,햄버거,간장마늘싸이버거,4800,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
63,4,햄버거,싸이플렉스버거,7700,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
64,4,햄버거,쉬림프싸이플렉스버거,7000,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
65,4,햄버거,트리플딥치즈싸이버거,5400,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
66,4,햄버거,화이트갈릭싸이버거,5200,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
67,4,햄버거,휠렛버거,4400,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
68,4,햄버거,인크레더블버거,5700,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
69,4,햄버거,언빌리버블버거,5900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
70,4,햄버거,불고기버거,3900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
71,4,햄버거,디럭스불고기버거,5200,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
72,4,햄버거,새우불고기버거,5700,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
73,4,햄버거,통새우버거,3500,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
74,4,햄버거,화이트갈릭버거,4900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
75,4,햄버거,딥치즈버거,4800,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
76,4,햄버거,할라피뇨통살버거,4800,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤, 스트레스","맑음, 구름, 황사"
77,4,햄버거,텍사스바베큐치킨버거,6100,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
79,4,햄버거,야채통통치킨버거,6200,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
80,4,햄버거,오리지널미트볼버거,6200,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
81,4,햄버거,청양마요미트볼버거,6200,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤, 스트레스","맑음, 구름, 황사"
82,4,치킨,꿀간장누룽지싸이순살,14500,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
83,4,치킨,마늘톡겨자싸이순살,14500,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
84,4,치킨,치즈뿌치싸이순살,13900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
85,4,치킨,군옥수수뿌치싸이순살,13900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
86,4,치킨,핫치즈싸이순살,14500,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
87,4,치킨,후라이드싸이순살,11900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
88,4,치킨,맘스양념싸이순살,13900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
89,4,치킨,간장마늘싸이순살,13900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
90,4,치킨,치파오싸이순살,13900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
91,4,치킨,꿀간장누룽치치킨(반마리),10900,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스","맑음, 구름, 황사"
92,4,치킨,꿀간장누룽지치킨(한마리),19500,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
93,4,치킨,마늘톡겨자치킨(반마리),10900,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스","맑음, 구름, 황사"
94,4,치킨,마늘톡겨자치킨(한마리),19500,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
95,4,치킨,치즈뿌치(반마리),10400,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스","맑음, 구름, 황사"
96,4,치킨,치즈뿌치(한마리),18900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
97,4,치킨,후라이드치킨(반마리),9400,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스","맑음, 구름, 황사"
98,4,치킨,후라이드치킨(한마리),16900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
99,4,치킨,간장마늘치킨(반마리),10400,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스","맑음, 구름, 황사"
100,4,치킨,간장마늘치킨(한마리),18900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
101,4,치킨,맘스양념치킨(반마리),10400,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스","맑음, 구름, 황사"
102,4,치킨,맘스양념치킨(한마리),18900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
103,4,치킨,반반치킨(후라이드+양념1종),17900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
104,4,치킨,닭강정트리오,12000,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
105,4,치킨,케이준떡강정(S),4200,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스","맑음, 구름, 황사"
106,4,치킨,간장마늘떡강정(S),4400,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스","맑음, 구름, 황사"
107,4,치킨,치파오떡강정(S),4400,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스","맑음, 구름, 황사"
108,4,치킨,후라이드텐더(4조각),4000,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스","맑음, 구름, 황사"
109,4,치킨,후라이드텐더(8조각),7500,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
110,4,사이드,찐감자찰빵2조각,3500,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스",맑음
111,4,사이드,코울슬로,1800,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스",맑음
112,4,사이드,콘샐러드,1800,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스",맑음
113,4,사이드,바삭크림치즈볼(2조각),2000,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름"
114,4,사이드,달콤카라멜볼,2200,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤, 스트레스","맑음, 구름"
115,4,사이드,케이준양념감자,2000,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스","맑음, 구름, 황사"
116,4,사이드,케이준양념감자(대),3500,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
117,4,사이드,치즈감자,2800,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스",맑음
118,4,사이드,치즈스틱,2000,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스",맑음
119,4,사이드,매콤김떡만,3500,맘스터치 인천대제3기숙사점,"적당, 피곤, 스트레스",맑음
120,4,사이드,할라피뇨너겟(4조각),2000,맘스터치 인천대제3기숙사점,"적당, 기쁨, 스트레스",맑음
121,5,샐러드,탄단지 샐러디,8300,샐러디 인천대점,적당,맑음
122,5,샐러드,로스트닭다리살 샐러디,9500,샐러디 인천대점,적당,맑음
123,5,샌드위치,칠리베이컨 웜볼,7900,샐러디 인천대점,배고픔,맑음
124,5,샌드위치,에그베이컨 샌드,6900,샐러디 인천대점,적당,맑음
125,5,샌드위치,스파이시비프 브레드,7500,샐러디 인천대점,"적당, 스트레스",맑음
126,5,샌드위치,맥시칸 랩,6700,샐러디 인천대점,적당,맑음
127,5,샌드위치,칠리베이컨 웜랩,6900,샐러디 인천대점,적당,맑음
128,5,샌드위치,우삼겹 웜랩,7300,샐러디 인천대점,적당,맑음
129,5,샌드위치,바질치킨 브레드,8200,샐러디 인천대점,적당,맑음
130,5,샌드위치,바질치킨 랩,7600,샐러디 인천대점,적당,맑음
131,5,샐러드,시저치킨 샐러디,6700,샐러디 인천대점,적당,맑음
132,5,샐러드,콥 샐러디,7400,샐러디 인천대점,적당,맑음
133,5,샐러드,연어 샐러디,9900,샐러디 인천대점,적당,맑음
134,5,샐러드,우삼겹메밀면 샐러디,8700,샐러디 인천대점,적당,맑음
135,5,샐러드,단호박두부 샐러디,8900,샐러디 인천대점,적당,맑음
136,5,샌드위치,우삼겹 웜볼,8500,샐러디 인천대점,배고픔,맑음
137,5,샌드위치,머쉬룸두부 웜볼,8900,샐러디 인천대점,배고픔,맑음
138,5,샌드위치,바베큐치킨 웜볼,8900,샐러디 인천대점,배고픔,맑음
139,5,샌드위치,할라피뇨치킨 웜볼,8500,샐러디 인천대점,"배고픔, 스트레스",맑음
140,5,샌드위치,치킨토마토 샌드,6900,샐러디 인천대점,적당,맑음
141,5,샌드위치,크리미연어 샌드,7800,샐러디 인천대점,적당,맑음
