이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),재료
구운스팸주먹밥,110,197,31,6,6,2,,12,502,,"쌀, 스팸, 마요네즈"
치즈날치알주먹밥,105,181,28,4,6,1.6,,19,368,,"쌀, 치즈, 날치알, 마요네즈"
양념갈비주먹밥,300,584,101,21,23,1.23,,39.2,853,,"쌀, 간장, 돼지고기, 마요네즈"
제육김치주먹밥,100,204,33.31,9.3,5.12,0.81,2.3,,302,83,"쌀, 김치, 돼지고기, 마요네즈"
담백라면,120,500,77,12,16,8,,9,1780,,"밀가루, 고춧가루, 대파, 달걀"
얼큰라면,120,500,77,12,16,8,,12,1880,,"밀가루, 고춧가루, 대파, 달걀"
어묵,50,139,9.36,9.36,6.86,0.696,3.741,44,175,201,"어묵, 간장"
순대국밥,300,328,33.78,23.25,10.35,3.615,3.145,140,1120,485,"돼지고기, 순대, 사골육수, 마늘, 대파, 쌀"
수육국밥,350,498,66.05,29.35,11.68,3.566,5.129,73,832,636,"돼지고기, 사골육수, 마늘, 대파, 쌀"
얼큰국밥,300,360,37,22.54,9.21,4.51,2.31,104,1203,503,"돼지고기, 순대, 사골육수, 마늘, 대파, 쌀, 고춧가루"
치즈피자,100,237,26.08,10.6,10.1,4.304,2.823,21,462,138,"토마토, 밀가루, 치즈, 햄, 올리브, 버섯"
불고기피자,100,251,33.99,10.78,7.61,2.489,3.266,13,374,169,"소고기, 토마토, 밀가루, 치즈, 올리브, 버섯"
치즈오븐스파게티,400,550,96,24,8,5.2,,10,1400,,"토마토, 양파, 마늘, 파슬리, 치즈, 밀가루"
알밥,400,392,65.21,20.77,6.16,1.294,1.762,222,395,586,"쌀, 날치알, 단무지, 어린잎, 김, 참기름, 김치"
불닭도리아,260,498,80,22,10,8,,,798,,"쌀, 닭고기, 양파, 치즈, 버터, 밀가루, 우유"
소고기쌀국수,624,589,112.94,25.08,4.12,0.69,,27,2539,,"쌀가루, 소고기, 숙주, 양파, 고추, 대파, 레몬"
제육덮밥,500,779,115.13,29.85,21.41,6.397,8.788,71,544,725,"돼지고기, 쌀, 김, 고추장, 숙주, 대파"
김치베이컨볶음밥,300,446,75.09,8.75,12.37,1.868,4.729,,844,520,"돼지고기, 베이컨, 김치, 대파, 숙주, 쌀, 김"
짬뽕쌀국수,300,350,74,7,3.1,1.8,,32,1080,,"쌀가루, 소고기, 숙주, 양파, 고추, 대파, 레몬, 고춧가루"
매콤 비빔쌀국수,300,361,68.3,6.53,9.32,2.98,,13,1321,,"쌀가루, 소고기, 고추장, 양파, 대파"
매콤 물쌀국수,300,322,71.2,5.43,8.31,3.12,,12,1230,,"쌀가루, 소고기, 고춧가루, 양파, 대파"
돈까스,200,491,24.56,51.77,18.98,5.307,8.254,185,883,640,"돼지고기, 밀가루, 양배추, 쌀"
짜조,22,48,5,2,2,0.2,0.8,,120,60,"닭고기, 양파, 치즈, 춘권피, 파프리카"
교자만두,100,215,28,8,8,1.3,1.433,5,290,73,"밀가루, 돼지고기, 부추, 당근"
갈비만두,100,160,13.32,8.02,7.9,2.5,3.4,12,230,100,"밀가루, 돼지고기, 간장, 부추, 당근"
튀김만두,50,95,10.73,4.91,3.43,1.163,1.433,12,74,,"밀가루, 돼지고기, 부추, 당근"
소떡소떡,100,340,43.32,10.46,13.61,4.065,6.707,42,637,171,"밀가루, 떡, 소시지"
돈코츠라멘,400,499,83.47,14.48,10.74,4.232,4.4,21,1307,324,"돼지고기, 간장, 밀가루, 후추, 대파, 마늘"
고기덮밥,300,440,48.77,28.64,12.74,3.244,5.098,54,304,486,"돼지고기, 간장, 밀가루, 대파, 마늘"
육개장,200,165,10.45,14.32,7.57,2.083,3.289,20,720,429,"소고기, 고사리, 대파, 숙주"
육회비빔밥,400,531,72.96,27.52,13.07,3.934,5.322,210,361,689,"소고기, 고추장, 마늘, 깨, 새싹, 김, 간장, 쌀"
핵불덮밥,500,812,103.12,26.3,18.3,4.21,3.2,102,601.3,521,"돼지고기, 고추장, 마늘, 고추, 깨, 쌀, 김"
수제비프싱글버거,150,370,39,11,17,6,,30,600,,"소고기, 밀가루, 양상추"
불갈비버거,182,462,65,22,17,8.6,,,909,,"돼지고기, 밀가루, 양상추, 칠리소스"
불갈비체다버거,190,502,65,20,31,10.1,,42,951,,"돼지고기, 밀가루, 양상추, 칠리소스, 치즈"
불갈비모짜버거,190,501,64,20,31,9,,41,928,,"돼지고기, 밀가루, 양상추, 칠리소스, 치즈"
수제비프버거,167,409,44,14,19,6,,30,669,,"소고기, 밀가루, 양상추"
수제비프체다버거,175,414,41,13,22,8,,65,740,,"소고기, 밀가루, 양상추, 치즈"
수제비프모짜버거,175,412,40,14,22,8,,66,732,,"소고기, 밀가루, 양상추, 치즈"
수제비프더블치즈버거,200,485,39,12,31,10,,78,760,,"소고기, 밀가루, 양상추, 치즈"
수제비프해쉬버거,250,40,74,29,5,,,,810,,"소고기, 밀가루, 양상추, 감자"
수제비프치즈베이컨버거,250,479,76.5,32,5,,,,870,,"소고기, 밀가루, 양상추, 베이컨, 치즈"
통살치킨버거,193,585,39,26,36,8,,75,650,,"닭고기, 밀가루, 양상추"
슈프림양념치킨버거,155,453,50,14,22,5,,38,1001,,"닭고기, 밀가루, 양상추, 고추장, 간장"
핫갈릭치킨버거,215.5,588,19.5,26.5,18,7.85,0,37.5,992.5,,"닭고기, 밀가루, 양상추, 마늘, 핫소스"
핫바베큐치킨버거,200,484,20,19,20,8,,,880,,"닭고기, 밀가루, 양상추, 핫소스"
핫스파이시치킨버거,160,376,45,13,16,4,,35,1180,,"닭고기, 밀가루, 양상추, 핫소스"
달콤강정치킨버거,232,662,13,28,8.2,,,,1080,,"닭고기, 밀가루, 양상추, 올리고당, 간장"
핫강정치킨버거,230,672,12,29,9,,,,1201,,"닭고기, 밀가루, 양상추, 올리고당, 간장"
삼겹살쌈밥,600,760,101,28.1,34.1,12.1,20.1,,1400,1000,"돼지고기, 쌈장, 상추, 마늘, 쌀"
제육쌈밥,600,740,101,27.1,39.1,12.9,19.1,,1504,901,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀"
두루치기쌈밥,600,740,101,27.1,39.1,12.9,19.1,,1504,901,"돼지고기, 고추장, 김치, 마늘, 상추, 쌀"
제육덮밥,500,779,115.13,29.85,21.41,6.397,8.788,71,544,725,"돼지고기, 고추장, 양파, 마늘, 김, 달걀, 쌀"
두루치기덮밥,500,779,115.13,29.85,20.42,5.984,9.31,80,510,710,"돼지고기, 고추장, 김치, 마늘, 김, 달걀, 쌀"
물냉면,400,383,64.58,16.5,5.74,1.962,2.293,48,1760,244,"밀가루,  오이, 쌈무, 참기름, 달걀"
비빔냉면,400,463,75.92,17.37,9.34,2.117,3.419,189,1583,312,"밀가루, 오이, 쌈무, 참기름, 달걀, 고추장"
빨떡,200,280,60.42,6.97,2.91,0.544,0.768,7,249,571,"떡, 대파, 어묵, 고추장, 고춧가루"
참치주먹밥,100,202,32,4,6,0.78,,,312,,"쌀, 참치, 마요네즈"
라볶이,300,417,67.71,10.32,13.83,2.85,4.917,11,670,678,"라면사리, 떡, 대파, 어묵, 고추장, 고춧가루"
스크램블스팸김치볶음밥,300,446,75.09,8.75,12.37,1.868,4.729,,844,520,"달걀, 스팸, 김치, 마요네즈, 고춧가루, 쌀"
제육한상,300,572,31.12,39.12,33.08,9.991,13.746,128,832,1055,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀"
햄치즈순두부,300,452,17,23,32,12,13,,872,501,"햄, 치즈, 대파, 순두부, 마늘, 고춧가루, 참기름, 쌀"
제육한상+햄치즈순두부,600,1024,48.12,62.12,65.08,21.991,26.746,128,1704,1556,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀, 햄, 치즈, 대파, 순두부, 고춧가루, 참기름"
제육한상+햄지치즈순두부+주먹밥,700,1184,83.12,67.12,70.08,22.881,26.746,128,1972,1556,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀, 햄, 치즈, 대파, 순두부, 고춧가루, 참기름, 김"
제육2인정식,600,1014,62.3,80,67,21,28,250,1780,2003,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀"
주먹밥,100,160,35,5,5,0.89,,,268,,"쌀, 김"
차돌짬뽕,500,881,130.47,36.61,22.56,7.43,10.014,70,1462,861,"소고기, 오징어, 양배추, 당근, 마늘, 간장, 새우, 밀가루, 양파, 고춧가루"
잡탕밥,400,518,61.45,28.39,18.65,2.708,6.204,46,1494,843,"버섯, 오징어, 새우, 돼지고기, 양파, 당근, 시금치, 대파, 마늘, 굴소스, 간장, 참기름"
자장면,450,785,129.41,26.81,19.98,5.621,8.517,22,600,803,"돼지고기, 양파, 양배추, 호박, 당근, 콩, 밀가루, 자장가루"
삼선짜장,120,500,80,11,15,8,,10,1010,,"새우, 오징어, 조개, 돼지고기, 양파, 대파, 청경채, 감자, 자장가루, 밀가루"
삼선짬뽕,350,487,74.19,28.08,7.89,1.102,3.115,235,985,612,"새우, 오징어, 조개, 돼지고기, 무, 대파, 양파, 청경채, 고추, 밀가루"
마파두부덮밥,300,360,17.16,23.16,20.66,5.489,8.504,58,1616,465,"두부, 돼지고기, 양파, 대파, 고춧가루, 된장, 고추장, 쌀"
삼선볶음밥,200,291,37.19,10.19,10.88,1.842,3.173,108,620,108,"쌀, 달걀, 새우, 오징어, 해삼, 부추, 양파, 피망"
게살볶음밥,230,385,73,10,6,1.2,,50,310,,"쌀, 게살, 달걀, 대파, 당근, 피방, 굴소스"
찹쌀탕수육,300,591,64.73,26.99,23.93,7.409,10.555,87,447,615,"돼지고기, 오이, 당근, 양파, 적채, 목이버섯, 올리고당, 밀가루"
깐풍기,200,450,33.46,20.99,25.35,4.848,12.084,67,858,294,"닭고기, 피망, 피망, 대파, 마늘, 생강, 달걀, 녹말가루, 밀가루, 홍고추"
깐소새우,200,353,34.28,22.52,13.42,1.281,6.72,136,928,290,"새우, 양파, 달걀, 전분가루, 고추장, 마늘, 밀가루"
크림새우,200,314,23.78,25.95,12.1,3.839,4.489,175,743,280,"밀가루, 새우, 양상추, 호두, 마요네즈"
깐풍새우,200,420,19,37,14,6.1,7.2,,930,401,"새우, 밀가루, 간장, 굴소스, 대파, 전분가루, 당근, 홍고추, 양파"
마라탕,100,275,12.5,17,20,4.3,5.23,40,1000,700,"마라후, 땅콩, 생강, 마늘, 양파, 버섯, 돼지고기"
마라샹궈,100,175,10,12.45,13.21,2.31,4.54,53,1021,441,"마라후, 땅콩, 생강, 마늘, 양파, 버섯, 돼지고기"
꿔보러우,200,384,33.18,22.49,17.39,2.854,8.735,62,878,528,"돼지고기, 전분가루, 달걀, 당근, 양파"
물만두,150,280,39,8,10,,,,,,"밀가루, 돼지고기, 부추, 당근"
육회비빔밥,400,531,72.96,27.52,13.07,3.934,5.322,210,361,689,"양파, 시금치, 버섯, 당근, 상추, 쌀, 소고기"
수육곰탕,100,185,1.83,23.68,9,3.498,3.808,52,449,475,"사골, 마늘, 소고기, 파, 양파, 쌀"
삼겹살덮밥,100,276,32,14,12,561,4.2,5.31,612,123.21,"돼지고기, 고추장, 양파, 마늘, 김, 달걀, 쌀"
순두부국밥,500,580,85,34,13,3.5,4.2,,2300,1764,"순두부, 양파, 대파, 마늘, 쌀, 돼지고기"
우동국밥,500,680,91,30,15,3.6,5.5,,1640,880,"밀가루, 대파, 마늘, 쌀"
