이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),재료
화이트갈릭싸이버거,263,759,,37,,13,,,1345,,"밀가루, 닭고기, 양상추"
쉬림프싸이플렉스버거,301,858,,29,,11.8,,,1392,,"밀가루, 새우, 닭고기, 양상추"
트리플딥치즈싸이버거,272,659,,30,,12.1,,,1514,,"밀가루, 닭고기, 아황산, 양상추, 치즈"
텍사스바베큐치킨버거,285,602,,33,,9.6,,,1419,,"밀가루, 닭고기, 양상추, 토마토, 돼지고기"
싸이플렉스버거,406,991,,44,,15.2,,,2024,,"밀가루, 닭고기, 양상추, 토마토"
양념치킨싸이버거,260,659,,29,,8.2,,,1277,,"밀가루, 닭고기, 양상추, 토마토"
간장마늘싸이버거,238,591,,27,,7.7,,,1335,,"밀가루, 닭고기, 양상추"
싸이버거,230,594,,28,,8.6,,,1009,,"밀가루, 닭고기, 양상추"
불싸이버거,230,543,,28,,6.9,,,1152,,"밀가루, 닭고기, 양상추, 오징어, 조개"
인크레더블버거,312,749,,38,,8.6,,,1455,,"밀가루, 닭고기, 양상추, 토마토, 조개"
할라피뇨통살버거,267,631,,27,,8.1,,,1103,,"밀가루, 닭고기, 양상추, 토마토"
휠렛버거,288,586,,39,,6.4,,,982,,"밀가루, 닭고기, 양상추, 토마토"
딥치즈버거,281,605,,42,,10,,,1195,,"밀가루, 닭고기, 양상추"
언빌리버블버거,338,772,,45,,7.9,,,1514,,"밀가루, 닭고기, 양상추, 새우, 조개"
화이트갈릭버거,298,699,,45,,11.1,,,1580,,"밀가루, 닭고기, 양상추, 돼지고기"
불고기버거,159,383,,15,,5.5,,,739,,"밀가루, 돼지고기, 토마토, 양상추"
새우불고기버거,247,635,,18,,7.6,,,1242,,"밀가루, 새우, 돼지고기, 토마토, 양상추"
에그불고기버거,211,497,,20,,6.4,,,951,,"밀가루, 돼지고기, 토마토, 달걀, 양상추"
디럭스불고기버거,226,553,,26,,10.6,,,1111,,"밀가루, 돼지고기, 토마토, 양상추"
통새우버거,178,449,,12,,12.4,,,707,,"밀가루, 새우, 양상추"
야채통통치킨버거,316,766,,28,,9.3,,,1280,,"밀가루, 고등어, 토마토, 닭고기, 양상추"
오리지널미트볼버거,303,814,,34,,18.3,,,1417,,"밀가루, 돼지고기, 토마토, 아황산, 닭고기, 양상추"
청양마요미트볼버거,301,799,,36,,15.7,,,1434,,"밀가루, 돼지고기, 토마토, 닭고기, 양상추"
꿀간장누룽지싸이순살,100,300,,20,,5.2,,,467,,"밀가루, 닭고기, 간장, 꿀, 쌀"
마늘톡겨자싸이순살,100,324,,21,,4.8,,,546,,"밀가루, 닭고기, 마늘, 겨자"
치즈뿌치싸이순살,100,418,,22,,5.8,,,614,,"우유, 밀가루, 닭고기, 치즈"
군옥수수뿌치싸이순살,100,382,,20,,5.4,,,532,,"우유, 밀가루, 닭고기, 옥수수, 치즈"
핫치즈싸이순살,100,331,,18,,4.9,,,536,,"우유, 밀가루, 토마토, 닭고기, 쇠고기, 오징어, 조개"
후라이드싸이순살,100,349,,22,,3.9,,,389,,"밀가루, 닭고기"
맘스양념싸이순살,100,290,,15,,2.9,,,475,,"우유, 밀가루, 닭고기, 토마토"
간장마늘싸이순살,100,283,,15,,2.4,,,488,,"밀가루, 닭고기, 조개, 간장, 마늘"
치파오싸이순살,100,290,,16,,2.7,,,477,,"밀가루, 닭고기, 조개"
꿀간장누룽치치킨(반마리),100,305,,16,,4.6,,,573,,"밀가루, 닭고기, 간장, 꿀, 쌀"
꿀간장누룽지치킨(한마리),100,305,,16,,4.6,,,573,,"밀가루, 닭고기, 간장, 꿀, 쌀"
마늘톡겨자치킨(반마리),100,326,,18,,4.2,,,569,,"밀가루, 닭고기, 마늘, 겨자"
마늘톡겨자치킨(한마리),100,326,,18,,4.2,,,569,,"밀가루, 닭고기, 마늘, 겨자"
